,url
26,//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/14-Bajar-djiwa.jpg/250px-14-Bajar-djiwa.jpg
27,//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Soeara_Berbisa_ad.jpg/300px-Soeara_Berbisa_ad.jpg
28,//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Wanita_dan_Satria_cover.jpg/220px-Wanita_dan_Satria_cover.jpg
29,//upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Poster_mega_mendoeng.jpg/220px-Poster_mega_mendoeng.jpg
30,//upload.wikimedia.org/wikipedia/en/thumb/a/ae/TheBetrayal.jpeg/220px-TheBetrayal.jpeg
31,//upload.wikimedia.org/wikipedia/en/thumb/6/6e/Linda1960.jpg/220px-Linda1960.jpg
32,//upload.wikimedia.org/wikipedia/en/thumb/2/25/Bulgasari.png/220px-Bulgasari.png
33,//upload.wikimedia.org/wikipedia/en/thumb/8/89/BatmanFightsDracula.jpg/220px-BatmanFightsDracula.jpg
34,//upload.wikimedia.org/wikipedia/en/thumb/d/d1/Nobody_Ordered_Love_film_frame_%281972%29.png/220px-Nobody_Ordered_Love_film_frame_%281972%29.png
35,//upload.wikimedia.org/wikipedia/en/thumb/5/5d/Prem_parbat.jpg/220px-Prem_parbat.jpg
36,//upload.wikimedia.org/wikipedia/en/thumb/5/58/Kissa_Kursi_Ka_film_poster.jpg/220px-Kissa_Kursi_Ka_film_poster.jpg
37,//upload.wikimedia.org/wikipedia/en/thumb/b/b5/Njattadi.jpg/220px-Njattadi.jpg
38,//upload.wikimedia.org/wikipedia/commons/thumb/4/48/2016_Official_Portrait_of_Our_Lady_of_Solitude_of_Porta_Vaga.jpg/220px-2016_Official_Portrait_of_Our_Lady_of_Solitude_of_Porta_Vaga.jpg
39,//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Roy_del_espacio_%281983%29_poster.jpg/220px-Roy_del_espacio_%281983%29_poster.jpg
